D32,D46,D61,D76,D91,D107,D127,D146,MODELS
,,O,O,,,,,100 050 02 30
,,O,O,,,,,100 060 02 30
,,O,O,,,,,100 070 02 30
,O,O,O,,,,,100 036 03 30
,O,O,O,,,,,100 050 03 30
,O,O,O,,,,,100 060 03 30
,O,O,O,,,,,100 070 03 30
,O,O,O,,,,,100 080 03 30
,O,O,O,,,,,100 090 03 30
,O,O,O,,,,,100 105 03 30
,,O,O,O,,,,100 050 03 50
,,O,O,O,,,,100 060 03 50
,,O,O,O,,,,100 070 03 50
,,O,O,O,,,,100 080 03 50
,,O,O,O,,,,100 090 03 50
,,O,O,O,,,,100 105 03 50
,,O,O,O,,,,100 115 03 50
,O,O,O,O,,,,100 048 04 50
,O,O,O,O,,,,100 060 04 50
,O,O,O,O,,,,100 068 04 50
,O,O,O,O,,,,100 085 04 50
,O,O,O,O,,,,100 105 04 50
,O,O,O,O,,,,100 115 04 50
,,O,O,O,O,,,100 060 04 80
,,O,O,O,O,,,100 068 04 80
,,O,O,O,O,,,100 085 04 80
,,O,O,O,O,,,100 095 04 80
,,O,O,O,O,,,100 105 04 80
,,O,O,O,O,,,100 120 04 80
,,O,O,O,O,,,100 130 04 80
,,O,O,O,O,,,100 150 04 80
,,O,O,O,O,,,100 170 04 80
,,O,O,O,O,,,100 200 04 80
,O,O,O,O,O,,,100 050 05 50
,O,O,O,O,O,,,100 070 05 50
,O,O,O,O,O,,,100 085 05 50
,O,O,O,O,O,,,100 105 05 50
,O,O,O,O,O,,,100 115 05 50
,O,O,O,O,O,,,100 125 05 50
,O,O,O,O,O,,,100 150 05 50
,O,O,O,O,O,,,100 185 05 50
O,O,O,O,O,O,,,100 060 06 50
O,O,O,O,O,O,,,100 085 06 50
O,O,O,O,O,O,,,100 105 06 50
O,O,O,O,O,O,,,100 115 06 50
O,O,O,O,O,O,,,100 125 06 50
,,O,O,O,O,O,,100 100 05 90
,,O,O,O,O,O,,100 125 05 90
,,O,O,O,O,O,,100 150 05 90
,,O,O,O,O,O,,100 170 05 90
,,O,O,O,O,O,,100 185 05 90
,,O,O,O,O,O,,100 215 05 90
,,O,O,O,O,O,,100 250 05 90
,,O,O,O,O,O,O,100 150 06 10
,,O,O,O,O,O,O,100 170 06 10
,,O,O,O,O,O,O,100 190 06 10
,,O,O,O,O,O,O,100 230 06 10
,,O,O,O,O,O,O,100 260 06 10
,,,O,O,O,O,O,100 100 05 12
,,,O,O,O,O,O,100 125 05 12
,,,O,O,O,O,O,100 150 05 12
,,,O,O,O,O,O,100 185 05 12
,,,O,O,O,O,O,100 215 05 12
,,,O,O,O,O,O,100 260 05 12
